"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010257","NADH dehydrogenase complex assembly","10/888","65/28928",0.153846153846154,5.01178101178101,5.76225320514604,2.74118877036385e-05,0.00452296147110035,0.00402870175361278,"66046/229211/76826/66377/17716/17717/17719/17721/17722/100041273",10
"GO:0032981","mitochondrial respiratory chain complex I assembly","10/888","65/28928",0.153846153846154,5.01178101178101,5.76225320514604,2.74118877036385e-05,0.00452296147110035,0.00402870175361278,"66046/229211/76826/66377/17716/17717/17719/17721/17722/100041273",10
"GO:0046148","pigment biosynthetic process","9/888","53/28928",0.169811320754717,5.53187149413565,5.87656712025226,3.06476570863573e-05,0.00488830130527399,0.00435411801904073,"22173/53328/12892/18174/50518/26570/21405/18431/20674",9
"GO:0048813","dendrite morphogenesis","18/888","194/28928",0.0927835051546392,3.02256896071329,5.03008513195589,3.29067969012849e-05,0.00507932332814995,0.00452426555698821,"18163/18174/22215/67414/72162/68151/20346/170731/13839/232560/12286/211134/269397/66797/19699/109294/12323/545156",18
"GO:0010770","positive regulation of cell morphogenesis","10/888","67/28928",0.149253731343284,4.86217560844426,5.63226274858067,3.59337888829507e-05,0.00522991803403613,0.00465840359012534,"19090/67414/72162/68151/170731/232560/269397/19699/12323/545156",10
"GO:0019693","ribose phosphate metabolic process","28/888","392/28928",0.0714285714285714,2.32689832689833,4.70709873287006,3.62149786273152e-05,0.00522991803403613,0.00465840359012534,"11717/20185/16000/18293/17883/50873/22436/72175/67414/66046/23971/21405/66377/68073/11534/68055/433182/17716/17717/17706/17705/17718/17719/17721/17722/17720/629219/18950",28
"GO:0045333","cellular respiration","22/888","271/28928",0.0811808118081181,2.64459293241581,4.84057417197017,3.71613820600268e-05,0.00522991803403613,0.00465840359012534,"18293/72175/18706/66046/170731/67914/66377/68073/72759/17716/17717/17708/17709/17706/17705/17710/17718/17719/17721/17722/17711/17720",22
"GO:0030900","forebrain development","32/888","480/28928",0.0666666666666667,2.17177177177177,4.60688060181731,4.00990835444487e-05,0.0054471884906354,0.00485193118816097,"20473/14602/216850/20185/71137/18293/14799/207615/20356/14359/26570/433759/20346/13839/30841/16873/14183/226407/70839/67749/14173/320191/666173/19664/66797/19699/171167/329628/18795/19091/20349/20674",32
"GO:0060999","positive regulation of dendritic spine development","10/888","68/28928",0.147058823529412,4.79067302596714,5.56918691260671,4.09819823746864e-05,0.0054471884906354,0.00485193118816097,"22084/67414/16183/72162/170731/232560/228880/19699/12323/545156",10
"GO:0061003","positive regulation of dendritic spine morphogenesis","7/888","32/28928",0.21875,7.12612612612613,6.1703703971985,4.31472621662323e-05,0.00557999052609247,0.00497022089647438,"67414/72162/170731/232560/19699/12323/545156",7
"GO:0042773","ATP synthesis coupled electron transport","11/888","83/28928",0.132530120481928,4.31737761858244,5.38601874860737,4.61477256220436e-05,0.00581097018688102,0.0051759595856968,"67914/17716/17717/17709/17710/17718/17719/17721/17722/17711/17720",11
"GO:0042440","pigment metabolic process","10/888","71/28928",0.140845070422535,4.58825022205304,5.38710550376685,5.99117940132861e-05,0.00735071626547626,0.00654744545100663,"22173/53328/12892/18174/50518/26570/21405/18431/20674/28254",10
"GO:0010918","positive regulation of mitochondrial membrane potential","5/888","15/28928",0.333333333333333,10.8588588588589,6.79664953981432,6.26225932997407e-05,0.00749122772348148,0.00667260211238553,"50873/67414/170731/21405/72759",5
"GO:0045838","positive regulation of membrane potential","6/888","24/28928",0.25,8.14414414414414,6.23083184906121,6.8926773721101e-05,0.00804425883549923,0.00716519914754141,"14799/50873/67414/170731/21405/72759",6
"GO:0060998","regulation of dendritic spine development","11/888","88/28928",0.125,4.07207207207207,5.13622788449713,7.96385105810469e-05,0.00907310174119784,0.00808161226422704,"22084/22215/67414/16183/72162/170731/232560/228880/19699/12323/545156",11
"GO:0046883","regulation of hormone secretion","25/888","348/28928",0.0718390804597701,2.34027130578855,4.47631257938516,8.4855950083769e-05,0.00925589169959354,0.00824442732038811,"18575/14602/16573/56745/319613/50873/76055/58869/11747/18441/28146/170731/13839/18125/21405/21336/235442/18133/97086/53357/56458/18795/545156/69227/13924",25
"GO:0021536","diencephalon development","11/888","89/28928",0.123595505617978,4.02631845328475,5.08848743970737,8.83824921349541e-05,0.00925589169959354,0.00824442732038811,"20473/14602/20185/18293/20356/20346/226407/14173/19664/20349/20674",11
"GO:0060079","excitatory postsynaptic potential","13/888","121/28928",0.107438016528926,3.49996277269005,4.90395398528535,9.11883717974e-05,0.00925589169959354,0.00824442732038811,"14799/14805/50873/108043/226407/116838/320127/66797/228880/19699/19229/26875/14804",13
"GO:0030111","regulation of Wnt signaling pathway","24/888","329/28928",0.0729483282674772,2.37640680193872,4.46826077476127,9.22192258879435e-05,0.00925589169959354,0.00824442732038811,"18163/20473/22084/20356/56274/50873/11984/12234/269424/214498/97064/68151/433759/21405/232560/14183/228770/20439/14173/19664/69217/56458/666048/20674",24
"GO:0033108","mitochondrial respiratory chain complex assembly","12/888","105/28928",0.114285714285714,3.72303732303732,4.97448159879149,9.27100036145944e-05,0.00925589169959354,0.00824442732038811,"66379/66046/229211/76826/66377/71238/17716/17717/17719/17721/17722/100041273",12
"GO:0060996","dendritic spine development","14/888","138/28928",0.101449275362319,3.30487008747878,4.82985773308168,9.28490703407503e-05,0.00925589169959354,0.00824442732038811,"18163/22084/22215/67414/16183/72162/170731/13839/232560/66797/228880/19699/12323/545156",14
"GO:0106027","neuron projection organization","13/888","124/28928",0.104838709677419,3.41528625399593,4.79647546368598,0.000117208980932004,0.0114458157910131,0.0101950411126463,"18163/22215/17754/67414/72162/170731/13839/232560/66797/228880/19699/12323/545156",13
"GO:0090276","regulation of peptide hormone secretion","21/888","276/28928",0.0760869565217391,2.47865256560909,4.39250623858835,0.000138642975663071,0.0132681327709559,0.011818219125469,"18575/14602/16573/319613/50873/76055/58869/11747/28146/13839/18125/21405/235442/18133/97086/53357/56458/18795/545156/69227/13924",21
"GO:0060997","dendritic spine morphogenesis","10/888","79/28928",0.126582278481013,4.12361728817425,4.94737873087493,0.000149954069741642,0.0140692200728188,0.0125317652917216,"18163/22215/67414/72162/170731/13839/232560/19699/12323/545156",10
"GO:0050775","positive regulation of dendrite morphogenesis","9/888","65/28928",0.138461538461538,4.51060291060291,5.04239459088423,0.000159239513467146,0.0146530975373133,0.0130518378548274,"67414/72162/68151/170731/232560/269397/19699/12323/545156",9
"GO:0097061","dendritic spine organization","12/888","112/28928",0.107142857142857,3.49034749034749,4.69917144540115,0.000172615367005223,0.0153308409945956,0.0136555189324353,"18163/22215/67414/72162/170731/13839/232560/66797/228880/19699/12323/545156",12
"GO:0002791","regulation of peptide secretion","21/888","281/28928",0.0747330960854092,2.43454842743099,4.30029229192487,0.000177684401693424,0.0153308409945956,0.0136555189324353,"18575/14602/16573/319613/50873/76055/58869/11747/28146/13839/18125/21405/235442/18133/97086/53357/56458/18795/545156/69227/13924",21
"GO:0090087","regulation of peptide transport","21/888","281/28928",0.0747330960854092,2.43454842743099,4.30029229192487,0.000177684401693424,0.0153308409945956,0.0136555189324353,"18575/14602/16573/319613/50873/76055/58869/11747/28146/13839/18125/21405/235442/18133/97086/53357/56458/18795/545156/69227/13924",21
"GO:0019646","aerobic electron transport chain","9/888","66/28928",0.136363636363636,4.44226044226044,4.98220575086763,0.000179420500668203,0.0153308409945956,0.0136555189324353,"67914/17716/17717/17710/17718/17719/17721/17722/17711",9
"GO:0060078","regulation of postsynaptic membrane potential","15/888","166/28928",0.0903614457831325,2.94366655812439,4.46925815771544,0.000195008654220153,0.0163704633411128,0.0145815335353167,"14799/14805/50873/18125/108043/226407/116838/320127/66797/228880/19699/14407/19229/26875/14804",15
"GO:0097250","mitochondrial respirasome assembly","12/888","114/28928",0.105263157894737,3.42911332385017,4.62453000853231,0.000204148833122698,0.0168422787326226,0.0150017899330999,"66379/66046/229211/76826/66377/71238/17716/17717/17719/17721/17722/100041273",12
"GO:0060123","regulation of growth hormone secretion","5/888","19/28928",0.263157894736842,8.57278330962541,5.87604309018018,0.000218926240203332,0.0177552891419143,0.0158150284849829,"14602/76055/28146/545156/69227",5
"GO:0030902","hindbrain development","17/888","206/28928",0.0825242718446602,2.6883582611738,4.32772896814988,0.000225911527759129,0.0180164443387906,0.0160476451911704,"12846/22026/12162/16000/18293/11909/55994/68151/30841/16873/12286/14173/66797/19091/17708/17719/14804",17
"GO:0046879","hormone secretion","27/888","415/28928",0.0650602409638554,2.11943992184956,4.08763922658015,0.00023119163749856,0.0181352784496821,0.0161534933603394,"18575/14602/16573/56745/319613/50873/76055/58869/11747/18441/28146/170731/13839/18125/21405/21336/235442/18133/116838/97086/53357/56458/18795/26875/545156/69227/13924",27
"GO:0030072","peptide hormone secretion","23/888","332/28928",0.0692771084337349,2.25681102789537,4.09878894760797,0.000271106453573263,0.0205397141141345,0.0182951773520609,"18575/14602/16573/319613/50873/76055/58869/11747/28146/13839/18125/21405/235442/18133/116838/97086/53357/56458/18795/26875/545156/69227/13924",23
"GO:0021761","limbic system development","13/888","135/28928",0.0962962962962963,3.137003670337,4.42892034757087,0.000274721359102322,0.0205397141141345,0.0182951773520609,"216850/18293/14359/433759/20346/13839/16873/14183/226407/666173/66797/19699/20349",13
"GO:0099565","chemical synaptic transmission, postsynaptic","13/888","135/28928",0.0962962962962963,3.137003670337,4.42892034757087,0.000274721359102322,0.0205397141141345,0.0182951773520609,"14799/14805/50873/108043/226407/116838/320127/66797/228880/19699/19229/26875/14804",13
